0	0
1	9999
2	5
3	3
4	2
5	3
6	5
7	6
8	6
9	5
10	5
11	9999
12	5
13	6
14	1
15	6
16	3
17	6
18	5
19	5
20	2
21	5
22	6
23	3
24	9999
25	9999
26	2
27	3
28	6
29	1
30	1
31	6
32	5
33	3
34	3
35	6
36	9999
37	9999
38	1
39	5
40	6
41	9999
42	6
43	9999
44	5
45	9999
46	6
47	2
48	1
49	3
50	5
51	2
52	6
53	6
54	3
55	1
56	5
57	9999
58	4
59	3
60	1
61	3
62	4
63	6
64	9999
65	6
66	3
67	5
68	9999
69	9999
70	6
71	5
72	0
73	3
74	3
75	6
76	6
77	2
78	9999
79	9999
80	5
81	1
82	6
83	6
84	9999
85	6
86	1
87	0
88	5
89	3
90	6
91	6
92	9999
93	1
94	5
95	9999
96	9999
97	5
98	1
99	5
100	3
101	6
102	3
103	5
104	6
105	5
106	6
107	5
108	6
109	5
110	1
111	6
112	5
113	5
114	9999
115	6
116	6
117	9999
118	3
119	3
120	1
121	9999
122	5
123	6
124	6
125	6
126	3
127	6
128	3
129	1
130	6
131	1
132	1
133	0
134	3
135	5
136	0
137	1
138	1
139	5
140	5
141	6
142	6
143	5
144	4
145	9999
146	9999
147	6
148	3
149	3
150	3
151	6
152	5
153	6
154	2
155	9999
156	6
157	6
158	3
159	5
160	3
161	4
162	6
163	1
164	0
165	1
166	2
167	9999
168	1
169	5
170	1
171	6
172	9999
173	6
174	6
175	3
176	9999
177	5
178	5
179	1
180	6
181	5
182	3
183	5
184	5
185	5
186	5
187	9999
188	6
189	1
190	5
191	9999
192	0
193	3
194	3
195	5
196	5
197	6
198	6
199	0
200	1
201	9999
202	0
203	9999
204	6
205	6
206	3
207	6
208	9999
209	3
210	3
211	9999
212	6
213	9999
214	6
215	6
216	9999
217	1
218	6
219	3
220	9999
221	1
222	3
223	1
224	3
225	5
226	0
227	3
228	9999
229	9999
230	1
231	9999
232	6
233	3
234	9999
235	1
236	6
237	9999
238	0
239	9999
240	5
241	5
242	5
243	2
244	9999
245	1
246	1
247	6
248	6
249	5
250	9999
251	5
252	9999
253	1
254	5
255	6
256	2
257	9999
258	6
259	5
260	9999
261	2
262	5
264	5
265	9999
266	2
267	5
268	5
269	3
270	6
271	5
272	9999
273	4
274	3
275	0
276	1
277	6
278	3
279	1
280	6
281	6
282	3
283	6
284	6
285	6
286	9999
287	4
288	9999
289	5
290	9999
291	3
292	6
293	6
294	6
295	5
296	2
297	0
298	9999
299	6
300	5
301	2
302	1
303	5
304	6
305	6
306	3
307	5
308	6
309	3
310	6
311	6
312	5
313	3
314	9999
315	6
316	1
317	9999
318	9999
319	3
320	4
321	5
322	5
323	5
324	5
325	9999
326	3
327	6
328	6
329	3
330	6
331	5
332	3
333	6
334	6
335	3
336	1
337	6
338	9999
339	5
340	1
341	5
342	9999
343	5
344	5
345	6
346	6
347	6
348	9999
349	6
350	6
351	3
352	6
353	1
354	6
355	6
356	6
357	5
358	6
359	0
360	1
361	5
362	5
363	2
364	6
365	5
366	3
367	1
368	5
369	6
370	3
371	3
372	9999
373	5
374	6
375	4
376	3
377	6
378	4
379	5
380	1
381	9999
382	6
383	6
384	5
385	5
386	6
387	5
388	1
389	9999
390	3
391	6
392	3
393	5
394	1
395	3
396	6
397	6
398	5
399	6
400	1
401	5
402	6
403	5
404	5
405	3
406	5
407	1
408	6
409	0
410	1
411	4
412	1
413	3
414	6
415	6
416	9999
417	2
418	3
419	5
420	1
421	1
422	2
423	6
424	5
425	2
426	1
427	9999
428	5
429	1
430	9999
431	1
432	0
433	0
434	3
435	2
436	6
437	5
438	0
439	5
440	9999
441	2
442	1
443	2
444	9999
445	1
446	6
447	6
448	9999
449	3
450	5
451	9999
452	5
453	9999
454	5
455	6
456	2
457	6
458	1
459	6
460	6
461	1
462	3
463	9999
464	1
465	6
466	5
467	9999
468	3
469	1
470	6
471	0
472	6
473	9999
475	6
476	6
477	1
478	6
479	5
480	5
481	1
482	1
483	1
484	2
485	6
486	9999
487	1
488	1
489	6
490	3
491	5
492	6
493	6
494	3
495	6
496	9999
497	6
498	5
499	3
500	6
501	9999
502	1
503	3
504	1
505	9999
506	5
507	1
508	6
509	1
510	4
511	9999
512	2
513	4
514	5
515	9999
516	5
517	3
518	6
519	1
520	6
521	5
522	9999
523	6
524	6
525	9999
526	5
527	1
528	3
529	9999
530	9999
531	6
532	2
533	5
534	1
535	3
536	6
537	2
538	3
539	6
540	5
541	6
542	5
543	6
544	0
545	2
546	0
547	6
548	1
549	1
550	9999
551	6
552	5
553	5
554	2
555	6
556	6
557	5
558	9999
559	2
560	6
561	6
562	0
563	5
564	3
565	6
566	0
567	9999
568	5
569	1
570	6
571	3
572	6
573	1
574	6
575	3
576	3
577	9999
578	9999
579	1
580	5
581	5
582	5
583	6
584	9999
585	5
586	6
587	9999
588	3
589	9999
590	6
591	9999
592	6
593	6
594	5
595	6
596	3
597	5
598	9999
599	9999
600	3
601	6
602	6
603	9999
604	6
605	5
606	5
607	5
608	9999
609	9999
610	9999
611	5
612	5
613	5
614	5
615	5
616	6
617	6
618	6
619	6
620	3
621	1
622	3
623	5
624	3
625	3
626	6
627	6
628	6
629	9999
630	1
631	9999
632	4
633	6
634	2
635	6
636	6
637	9999
638	5
639	5
